,GRADE,SCPUBPRI,DISTASSI,SCHRTSCHL,SSAMSC,SEGRADES,SEADPLCXX,SEREPEAT,SESUSOUT,SESUSPIN,SEEXPEL,CDOBMM,CDOBYY,CPLCBRTH,CMOVEAGE,CHISPAN,CAMIND,CASIAN,CBLACK,CPACI,CWHITE,CHISPRM,CSEX,CENGLPRG,DISABLTYX,DISBLTY2X,RACEETHN,RACEETH2,ZIP18PO2,ZIPBLHI2,ZIPLOCL,S16NUMST,S16PBPV,S16TYPE,AGE2015,target
5715,12,4,1,2,1,1,2,2,2,2,2,11,2001,1,-1,2,2,1,2,2,2,2,2,-1,2,2,4,4,1,3,21,4,1,4,14,False
1845,7,4,1,2,1,2,-1,2,2,2,2,2,2006,1,-1,1,2,2,2,2,2,1,1,-1,2,2,3,3,4,4,11,3,1,4,9,False
8190,15,4,1,2,1,2,2,2,2,2,2,11,1997,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,2,3,12,4,1,4,18,False
7421,15,4,1,2,1,3,1,2,2,2,2,6,1997,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,3,21,5,1,4,18,False
6805,5,4,1,2,1,1,-1,2,2,2,2,8,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,42,3,1,4,7,False
6621,9,4,1,2,1,2,-1,2,2,2,2,4,2004,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,41,3,1,4,11,False
13313,5,4,1,2,1,5,-1,2,2,2,2,12,2007,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,1,21,3,1,4,8,False
5088,12,4,2,2,1,1,2,2,2,2,2,8,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,4,1,4,15,False
7983,2,1,-1,-1,1,1,-1,1,2,2,2,8,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,2,43,1,2,1,6,False
10578,5,4,1,2,1,1,-1,2,2,2,2,12,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,12,3,1,4,8,False
6336,10,4,1,2,1,3,-1,1,2,2,2,8,2002,1,-1,2,2,2,1,2,2,2,2,-1,1,1,2,2,3,4,12,4,1,4,13,False
13182,7,4,1,2,1,1,-1,2,2,1,2,10,2005,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,4,21,3,1,4,10,False
1668,4,4,1,2,1,1,-1,2,2,2,2,12,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,2,1,4,7,False
1689,5,4,1,2,1,5,-1,2,2,2,2,1,2008,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,1,41,3,1,4,7,False
2962,11,4,1,2,1,1,-1,2,2,2,2,11,2001,1,-1,2,2,2,1,2,2,2,1,-1,1,1,2,2,2,4,21,4,1,4,14,False
12956,12,4,1,2,1,1,2,2,2,2,2,1,2001,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,11,4,1,4,14,False
3451,14,4,2,1,1,1,2,2,2,2,2,6,1999,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,4,21,4,1,4,16,False
13053,8,4,1,2,1,1,-1,2,2,2,2,10,2004,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,2,41,2,1,4,11,False
11030,8,4,1,2,1,1,-1,2,2,2,2,12,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,41,2,1,4,11,False
12206,2,4,1,2,1,5,-1,2,2,2,2,9,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,41,2,1,4,6,False
7814,14,4,1,1,1,2,2,2,1,2,2,7,1999,1,-1,2,2,2,1,2,2,2,1,-1,1,1,2,2,3,3,21,4,1,4,16,False
2977,14,4,1,2,1,1,2,2,2,2,2,3,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,4,33,3,1,4,16,False
10331,7,4,1,2,1,2,-1,2,2,2,2,1,2006,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,13,2,1,4,9,False
10119,7,4,1,2,1,1,-1,2,2,2,2,11,2005,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,21,2,1,4,10,False
283,7,4,1,2,1,3,-1,2,2,2,2,1,2006,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,1,41,2,1,4,9,False
6064,7,4,1,2,1,3,-1,2,2,2,2,11,2005,3,2,1,2,2,2,2,2,1,2,-1,2,2,3,3,3,4,12,3,1,4,10,False
3603,13,4,1,2,1,2,1,2,2,2,2,7,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,4,1,4,15,False
6955,13,4,1,2,1,1,1,2,2,2,2,1,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,3,42,4,1,4,15,False
2535,11,4,1,2,1,1,-1,2,2,2,2,1,2002,1,-1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,22,3,1,4,13,False
10947,5,4,1,2,1,1,-1,2,2,2,2,3,2008,1,-1,1,2,2,2,2,1,2,2,-1,2,2,3,3,1,2,21,2,1,4,7,False
10275,5,4,1,2,1,5,-1,2,2,2,2,7,2008,1,-1,2,1,2,1,2,1,2,2,-1,2,2,4,5,1,1,41,1,1,4,7,False
13136,5,4,1,2,1,5,-1,2,2,2,2,9,2007,3,2,1,2,2,2,2,1,2,1,1,2,2,3,3,3,4,21,4,1,4,8,False
5159,4,4,1,2,1,1,-1,2,2,2,2,1,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,4,32,3,1,4,6,False
13068,11,4,1,2,1,3,-1,2,1,2,2,8,2002,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,1,42,3,1,4,13,True
5110,15,4,1,2,1,1,1,2,2,2,2,6,1998,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,4,1,4,17,False
1402,8,4,1,2,1,2,-1,2,2,2,2,9,2004,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,1,21,2,1,4,11,False
2200,5,2,-1,-1,1,1,-1,2,2,2,2,8,2007,1,-1,2,2,2,1,2,1,2,2,-1,2,2,4,5,1,2,11,4,2,2,8,False
2259,12,4,1,2,1,3,2,2,1,2,2,5,2001,1,-1,1,2,2,2,2,1,2,1,2,2,2,3,3,3,4,11,4,1,4,14,False
13347,10,4,2,2,1,5,-1,2,2,2,2,8,2003,2,11,1,2,2,2,2,1,2,2,1,2,2,3,3,4,4,11,3,1,4,12,False
1130,13,4,1,2,1,1,1,2,2,2,2,10,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,4,1,4,16,False
14067,14,4,1,2,1,2,2,2,2,2,2,12,1998,1,-1,1,2,2,2,2,1,2,2,-1,2,2,3,3,4,4,11,4,1,4,17,False
